2023-02-08 11:56:11.171479,50,5.503953695297241,9.08437875171836
2023-02-08 12:55:44.950590,30000,3302.9780945777893,9.082712370768785
2023-02-08 17:32:57.120154,80000,8803.462954044342,9.087333066273393
2023-02-09 07:02:24.603193,50,5.524983167648315,9.049801326595222,shuffled
2023-02-09 07:06:17.679944,100,11.022073030471802,9.072703449118725,shuffled
2023-02-09 07:34:54.038414,500,55.02844262123108,9.086210261147569,shuffled
2023-02-09 07:44:23.669077,5000,550.2435607910156,9.08688507469698,shuffled
2023-02-09 07:49:44.873721,10,1.102376937866211,9.071307332822343,shuffled
2023-02-10 17:17:07.152291,20,2.2191972732543945,9.01226774250246,normal
2023-02-10 17:19:07.982626,20,2.202561140060425,9.080338173700515,continue
2023-02-10 17:21:30.097881,20,2.2029738426208496,9.078637073695917,continue
2023-02-10 17:37:33.599176,30,3.302889823913574,9.082955108824423,continue
2023-02-10 17:38:44.390962,40,4.403529405593872,9.083622775219208,continue
2023-02-10 17:44:15.798262,60,6.60414981842041,9.085196679313203,continue
2023-02-10 17:53:56.567822,70,7.721121311187744,9.06604069263508,normal
2023-02-10 17:54:56.888340,70,7.718999862670898,9.068532354627983,shuffled
2023-02-10 23:56:42.625564,100000,11004.172583818436,9.087461982107529,normal
2023-02-11 08:08:28.776063,80000,8801.395908594131,9.089467265287308,shuffled
